id,order_id,product_id,quantity,unit_price,currency
1,1,1,1,89.99,USD
2,2,15,2,78.25,GBP
3,3,23,1,234.75,EUR
4,4,45,3,22.42,EUR
5,5,8,1,299.99,EUR
6,5,12,2,72.91,EUR
7,6,34,1,123.45,EUR
8,7,67,4,19.73,USD
9,8,19,1,199.99,USD
10,8,28,1,98.76,USD
11,9,56,2,94.8,EUR
12,10,3,1,356.25,EUR
13,11,41,3,48.6,EUR
14,12,7,1,189.99,USD
15,12,22,1,77.31,USD
16,13,89,5,17.99,USD
17,14,14,2,89.25,USD
18,15,5,1,423.75,USD
19,16,33,1,156.8,USD
20,17,11,1,289.45,USD
21,18,76,6,22.45,USD
22,19,29,1,245.9,USD
23,20,4,1,367.25,EUR
24,21,58,2,99.3,USD
25,22,9,1,456.8,USD
26,23,82,7,17.68,USD
27,24,16,1,278.9,USD
28,25,47,3,63.15,EUR
29,26,6,1,345.6,EUR
30,27,71,4,41.96,USD
31,28,25,1,234.5,USD
32,29,13,1,298.75,USD
33,30,39,2,78.45,EUR
34,31,2,1,445.8,EUR
35,32,64,8,23.71,USD
36,33,18,1,267.4,USD
37,34,52,1,356.75,USD
38,35,27,2,89.45,EUR
39,36,10,1,423.55,USD
40,37,73,5,46.96,USD
41,38,36,3,48.57,USD
42,39,21,1,298.45,USD
43,40,49,2,94.95,EUR
44,41,17,1,367.25,EUR
45,42,85,9,17.43,USD
46,43,31,1,278.6,USD
47,44,1,1,445.9,USD
48,45,68,6,20.63,EUR
49,46,24,1,234.85,USD
50,47,55,2,94.85,USD
51,48,8,1,356.45,USD
52,49,77,4,41.98,USD
53,50,32,1,298.55,EUR
54,51,43,3,48.6,USD
55,52,15,2,211.83,GBP
56,53,59,2,139.2,EUR
57,54,26,1,189.95,EUR
58,55,4,1,367.2,EUR
59,56,81,8,19.59,EUR
60,57,35,1,234.9,USD
61,58,12,1,445.55,USD
62,59,74,7,17.69,EUR
63,60,20,1,298.7,EUR
64,61,48,3,63.15,EUR
65,62,7,1,356.8,USD
66,63,86,10,16.77,USD
67,64,30,1,278.95,USD
68,65,53,1,423.4,USD
69,66,37,2,72.95,USD
70,67,14,1,234.75,USD
71,68,69,5,37.96,USD
72,69,22,1,367.45,USD
73,70,44,3,99.53,USD
74,71,78,4,39.21,USD
75,72,11,1,445.7,USD
76,73,87,8,15.49,USD
77,74,33,1,278.5,USD
78,75,50,2,94.88,EUR
79,76,6,1,356.9,EUR
80,77,75,6,39.11,USD
81,78,28,1,167.8,USD
82,79,9,1,423.55,USD
83,80,41,3,99.62,USD
84,81,83,9,16.19,EUR
85,82,16,1,367.4,USD
86,83,60,2,94.95,USD
87,84,25,1,234.5,USD
88,85,42,2,78.38,EUR
89,86,8,1,389.99,USD
90,87,73,5,55.68,GBP
91,88,2,1,445.8,EUR
92,89,91,3,55.75,USD
93,90,105,2,149.33,XYZ
94,91,17,1,189.9,EUR
95,92,54,1,356.75,USD
96,93,38,2,61.73,USD
97,94,67,4,66.95,EUR
98,95,9,1,423.55,USD
99,96,103,3,59.63,ABC
100,97,29,1,345.6,USD
101,98,81,8,29.34,EUR
102,99,46,2,94.73,USD
103,100,15,2,149.4,USD
104,101,33,1,156.9,EUR
105,102,7,1,445.7,USD
106,103,95,1,267.35,USD
107,104,21,1,389.25,EUR
108,105,107,2,89.3,QWE
109,106,64,8,29.36,USD
110,107,4,1,356.4,EUR
111,108,88,4,30.94,USD
112,109,52,1,298.55,USD
113,110,36,3,63.27,EUR
114,111,12,1,445.95,USD
115,112,79,5,33.54,USD
116,113,26,1,278.45,EUR
117,114,61,7,50.97,USD
118,115,102,2,117.3,ABC
119,116,45,3,63.32,USD
120,117,18,1,423.4,EUR
121,118,93,1,156.85,USD
122,119,31,1,298.7,USD
123,120,74,7,38.18,EUR
124,121,6,1,445.85,USD
125,122,89,5,35.7,USD
126,123,23,1,356.65,EUR
127,124,57,2,117.45,USD
128,125,108,3,62.92,XYZ
129,126,40,2,149.43,EUR
130,127,85,9,13.74,USD
131,128,14,2,133.7,USD
132,129,70,3,141.25,EUR
133,130,96,1,156.7,USD
134,131,3,1,445.6,USD
135,132,48,3,59.62,EUR
136,133,22,1,356.95,USD
137,134,106,2,117.28,QWE
138,135,77,4,47.48,USD
139,136,35,1,298.45,EUR
140,137,92,1,267.8,USD
141,138,59,2,211.63,USD
142,139,16,1,156.95,EUR
143,140,104,3,148.57,ABC
144,141,41,3,59.53,USD
145,142,8,1,356.85,EUR
146,143,66,10,23.48,USD
147,144,28,1,189.5,USD
148,145,75,6,49.82,EUR
149,146,19,1,267.35,USD
150,147,53,1,423.8,USD
151,148,101,2,78.33,XYZ
152,149,37,2,222.98,EUR
153,150,84,9,19.67,USD
154,151,11,1,356.45,USD
155,152,49,2,117.4,EUR
156,153,72,4,47.49,USD
157,154,109,3,99.52,QWE
158,155,27,2,133.85,USD
159,156,60,2,211.73,EUR
160,157,94,1,156.85,USD
161,158,1,1,445.6,USD
162,159,87,8,22.36,ABC
163,160,34,1,356.75,EUR
164,161,56,2,117.33,USD
165,162,13,1,189.8,EUR
166,163,110,3,148.65,USD
167,164,71,4,41.85,XYZ
168,165,24,1,298.75,USD
169,166,39,2,178.3,EUR
170,167,82,7,17.64,USD
171,168,5,1,267.9,USD
172,169,98,1,423.45,EUR
173,170,47,3,59.57,ABC
174,171,65,9,38.43,USD
175,172,20,1,234.6,EUR
176,173,86,8,23.74,USD
177,174,32,1,298.5,USD
178,175,101,2,78.38,QWE
179,176,58,2,222.9,EUR
180,177,76,6,44.58,USD
181,178,9,1,389.7,USD
182,179,43,3,59.62,EUR
183,180,90,1,234.9,USD
184,181,102,2,178.13,XYZ
185,182,27,2,61.8,USD
186,183,69,5,59.77,EUR
187,184,16,1,189.4,USD
188,185,51,1,445.65,USD
189,186,104,3,55.97,ABC
190,187,35,1,278.55,EUR
191,188,78,4,105.95,USD
192,189,22,1,156.45,USD
193,190,106,2,172.85,QWE
194,191,44,3,78.28,EUR
195,192,87,8,23.58,USD
196,193,11,1,298.95,USD
197,194,63,7,23.9,EUR
198,195,30,1,445.75,USD
199,196,108,3,118.8,XYZ
200,197,74,7,17.71,USD
201,198,18,1,278.6,EUR
202,199,55,2,94.93,USD
203,200,97,1,423.5,USD
204,201,103,2,78.4,ABC
205,202,41,3,52.27,EUR
206,203,84,9,17.39,USD
207,204,26,1,234.85,USD
208,205,109,3,62.83,QWE
209,206,62,7,60.36,EUR
210,207,19,1,189.5,USD
211,208,75,6,70.66,USD
212,209,105,2,83.75,XYZ
213,210,38,2,211.83,EUR
214,211,91,1,423.65,USD
215,212,50,2,78.4,USD
216,213,107,3,115.18,ABC
217,214,29,1,298.9,EUR
218,215,83,9,18.59,USD
219,216,14,2,83.75,USD
220,217,101,2,222.9,QWE
221,218,46,2,178.28,EUR
222,219,92,1,356.75,USD
223,220,59,2,61.8,USD
224,221,110,3,149.27,XYZ
225,222,33,1,123.6,EUR
226,223,77,4,69.74,USD
227,224,21,1,234.5,USD
228,225,104,3,55.95,ABC
229,226,68,6,58.14,EUR
230,227,95,1,423.7,USD
231,228,42,2,78.48,USD
232,229,106,2,172.8,QWE
233,230,17,1,345.4,USD
234,231,80,8,20.81,EUR
235,232,54,1,445.55,USD
236,233,102,2,178.45,XYZ
237,234,28,1,123.45,EUR
238,235,71,4,69.65,USD
239,236,108,3,118.62,ABC
240,237,45,3,63.23,USD
241,238,89,5,79.9,EUR
242,239,23,1,423.95,USD
243,240,103,2,78.25,QWE
244,241,66,10,15.65,EUR
245,242,37,2,172.85,USD
246,243,94,1,298.4,USD
247,244,105,2,83.98,XYZ
248,245,52,1,167.95,EUR
249,246,15,2,222.85,USD
250,247,107,3,115.23,ABC
251,248,31,1,356.45,USD
252,249,88,4,30.95,USD
253,250,101,2,139.4,QWE
254,251,64,8,34.59,EUR
255,252,25,1,234.7,USD
256,253,109,3,62.98,XYZ
257,254,48,3,63.18,EUR
258,255,93,1,189.95,USD
259,256,36,3,141.2,USD
260,257,102,2,178.3,ABC
261,258,79,5,55.7,EUR
262,259,56,2,211.98,USD
263,260,104,3,55.87,QWE
264,261,20,1,423.6,EUR
265,262,85,9,17.31,USD
266,263,41,3,52.25,USD
267,264,106,2,172.75,XYZ
268,265,73,5,33.52,EUR
269,266,58,2,149.45,USD
270,267,110,3,149.3,ABC
271,268,34,1,298.35,USD
272,269,91,1,167.6,QWE
273,270,47,3,148.62,EUR
274,271,103,2,78.43,USD
275,272,26,1,356.5,USD
276,273,82,7,17.71,XYZ
277,274,59,2,117.48,EUR
278,275,105,2,83.95,ABC
279,276,18,1,234.85,USD
280,277,74,7,24.07,USD
281,278,107,3,115.32,QWE
282,279,43,3,63.17,EUR
283,280,96,1,189.5,USD
284,281,101,2,211.98,XYZ
285,282,55,2,78.48,EUR
286,283,29,1,423.95,USD
287,284,108,3,118.67,ABC
288,285,72,4,41.88,USD
289,286,39,2,222.83,QWE
290,287,87,8,55.99,EUR
291,288,24,1,298.75,USD
292,289,102,2,178.25,XYZ
293,290,67,4,41.74,USD
294,291,104,3,55.93,ABC
295,292,32,1,356.6,EUR
296,293,90,1,123.85,USD
297,294,106,2,172.7,QWE
298,295,51,1,278.4,USD
299,296,109,3,62.95,XYZ
300,297,16,1,234.85,EUR
301,298,76,6,31.42,USD
302,299,103,2,78.4,ABC
303,300,44,3,149.2,USD
304,301,105,2,83.9,QWE
305,302,27,2,211.83,EUR
306,303,88,4,111.24,USD
307,304,101,2,78.28,XYZ
