id,customer_id,order_date,total_amount,currency,status
1,1,2024-01-16 14:30:00,89.99,USD,completed
2,2,2024-01-21 10:15:00,156.5,GBP,completed
3,3,2024-01-26 16:45:00,234.75,EUR,completed
4,4,2024-01-28 11:20:00,67.25,EUR,completed
5,5,2024-01-30 13:40:00,445.8,EUR,completed
6,6,2024-02-02 09:15:00,123.45,EUR,completed
7,7,2024-02-04 15:30:00,78.9,USD,completed
8,8,2024-02-06 12:25:00,298.75,USD,completed
9,9,2024-02-08 14:50:00,189.6,EUR,completed
10,10,2024-02-10 10:35:00,356.25,EUR,completed
11,11,2024-02-12 16:20:00,145.8,EUR,completed
12,12,2024-02-14 11:45:00,267.3,USD,completed
13,13,2024-02-16 13:15:00,89.95,USD,completed
14,14,2024-02-18 15:40:00,178.5,USD,completed
15,15,2024-02-20 09:55:00,423.75,USD,completed
16,16,2024-03-01 14:25:00,156.8,USD,completed
17,17,2024-03-03 10:40:00,289.45,USD,completed
18,18,2024-03-05 16:15:00,134.7,USD,completed
19,19,2024-03-07 12:30:00,245.9,USD,completed
20,20,2024-03-09 14:55:00,367.25,EUR,completed
21,21,2024-03-11 11:20:00,198.6,USD,completed
22,22,2024-03-13 15:45:00,456.8,USD,completed
23,23,2024-03-15 09:35:00,123.75,USD,completed
24,24,2024-03-17 13:50:00,278.9,USD,completed
25,25,2024-03-19 16:10:00,189.45,EUR,completed
26,26,2024-03-21 10:25:00,345.6,EUR,completed
27,27,2024-03-23 14:40:00,167.85,USD,completed
28,28,2024-03-25 12:15:00,234.5,USD,completed
29,29,2024-03-27 15:30:00,298.75,USD,completed
30,30,2024-03-29 11:45:00,156.9,EUR,completed
31,31,2024-04-02 14:20:00,445.8,EUR,completed
32,32,2024-04-04 10:35:00,189.65,USD,completed
33,33,2024-04-06 16:50:00,267.4,USD,completed
34,34,2024-04-08 12:15:00,356.75,USD,completed
35,35,2024-04-10 14:30:00,178.9,EUR,completed
36,36,2024-04-12 09:45:00,423.55,USD,completed
37,37,2024-04-14 15:25:00,234.8,USD,completed
38,38,2024-04-16 11:40:00,145.7,USD,completed
39,39,2024-04-18 13:55:00,298.45,USD,completed
40,40,2024-04-20 16:10:00,189.9,EUR,completed
41,41,2024-04-22 10:25:00,367.25,EUR,completed
42,42,2024-04-24 14:40:00,156.85,USD,completed
43,43,2024-04-26 12:55:00,278.6,USD,completed
44,44,2024-04-28 15:15:00,445.9,USD,completed
